FIPS Code,Alt FIPS Code,State,State Abbreviation,population,% births to unmarried women,% women currently married,% children with single parent,% children read to every day past week,% children 4+ hours television past week,% children 4+ hours on electronic device past week,"% get emotional support sometimes, rarely, or never",Average number of close friends,% neighbors who do favors at least once/mo,% who trust all/most neighbors,"Membership Organizations p 1,000","Non-religious non-profits plus religious congregations p 1,000",% attended meeting where politics discussed last year,% participated in demonstration,% who volunteered for a group,% attended public meeting,% worked with neighbors to improve/fix something,% served on committee or as group officer,"Presidential election voting rate, 2012 & 2016",Mail-back census response rate,% have some/great confidence in corporations to do right,% have some/great confidence in media,% have some/great confidence in public schools,"Violent Crimes p 100,000",% made $25+ contribution to charitable cause
44,44,Rhode Island,RI,1054491,45.3,56.8,36.8,47.2,6.6,9.6,20.4,5.1,49.8,65.2,2,7.4,11.7,4,21.1,9.4,7.4,11.1,59.6,71,64.9,62.8,86.9,219.2,54.7
45,45,South Carolina,SC,4834605,44.7,54.5,37.9,37.1,8.6,10.7,21.3,5.5,42,58.4,2.3,5.4,10.2,3,23.6,9.1,8.2,6.2,58,73,69,58.6,84.2,497.7,50.3
46,46,South Dakota,SD,851058,34.7,64.8,30.3,33,7,9.1,16.9,6.9,51.2,73.1,3.1,8.4,12.3,2.2,36.7,11.8,10.9,15.4,59.8,75,67.9,58.8,89.7,326.5,56.9
47,47,Tennessee,TN,6548009,39.3,58.9,34.4,42.3,7.9,11.6,18.1,6.5,41.8,50,2.3,5.7,6.9,1.6,22.8,6.2,5.5,10.2,52.3,74,62.1,49.2,83.2,608.4,49.2
48,48,Texas,TX,26956435,34.6,60.1,32.1,34.1,10.4,11.7,22.1,6,39.3,47.7,1.5,4.1,7.7,1.6,22.6,7.6,5.7,8.2,50,69,64.4,55.9,83.5,405.9,46.3
49,49,Utah,UT,2948427,16.3,69.8,17.4,37.8,6.2,8.2,14.1,8.1,61.2,76.8,0.7,4.7,14.4,2.8,39.8,10.7,13.9,17,57.8,74,73.4,41.4,86.8,215.6,64.1
50,50,Vermont,VT,626249,31.7,64.3,30.6,61,4.7,8.1,15.6,6.9,48.8,70.1,3.1,9.8,20.5,5,31.1,18.2,13.4,20.4,63.8,67,63.5,61.8,87.8,99.3,46.7
51,51,Virginia,VA,8310301,29.4,61.7,28.8,41.4,8.2,10.6,17.7,6.3,37.4,58.4,2.3,5.4,10.1,4.2,30.6,11.6,10.3,10,66.7,76,68.6,55.4,87.4,196.2,57
53,53,Washington,WA,7073146,28,62.7,27.5,42.4,7.9,10.3,16.4,6.3,41.7,61.4,1.9,5.1,17.4,4.6,29.1,12.6,11.9,13.1,66.9,74,64.8,57.5,86.8,285.2,55.7
54,54,West Virginia,WV,1846092,40.1,60.4,33,32.6,8.3,9.5,18.7,6.1,55.5,60.1,2.6,7.1,7.5,1.2,24.3,7.1,8.9,10.2,48.6,64,66,54.7,87.6,302,41.9
55,55,Wisconsin,WI,5754798,32.6,63.9,30.5,41.8,6.1,9.5,15.2,6.8,50.2,72.3,2.2,6.1,12.7,4.2,35.5,13.2,11.3,16.1,70.9,81,73.7,58.3,90.2,290.3,62.7
56,56,Wyoming,WY,583029,67.8,27.1,34.9,4.5,8.2,15.6,6.4,43.9,62.9,2.7,8.7,17.3,1.9,28.4,9.8,9.7,13.4,58.9,68,69.5,51.7,89,195.5,51.9,
