id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23021224,DORMITORIOS IPN CASCO SANTO TOMAS,170802481,Aimee,,Azcapotzalco,19.45809,-99.16606,Private room,344,1,0,,,1,0
23149970,Welcome to The Palm House! 4,45478271,Mildred Sabine,,Benito Juárez,19.3664,-99.18744,Private room,344,3,8,2/22/2019,0.49,5,312
23239320,"Full Apartment 2 Rooms, Near Downtown Mexico",143611241,Rodri,,Cuauhtémoc,19.4513,-99.1401,Entire home/apt,344,1,15,4/7/2019,0.91,2,84
23274046,SHAMBALA TLATELOLCO. Un oásis de armonía para ti.,173199358,Vicente,,Cuauhtémoc,19.45291,-99.14248,Private room,344,1,1,6/10/2019,1,1,88
23290062,Confortable y céntrico departamento,136027232,Maria Edith,,Iztacalco,19.40078,-99.0912,Entire home/apt,344,2,28,6/16/2019,1.74,1,337
23324128,Calor de hogar,173615878,Beto,,Iztapalapa,19.31725,-99.07524,Private room,344,2,0,,,1,363
23327736,Amores Cozy Flat,138780579,Andres,,Benito Juárez,19.39317,-99.16453,Private room,344,1,4,3/27/2019,0.25,1,365
23412775,ART APRTAMENT- Excelente ubicación -COL. DEL VALLE,174447233,Mora / Meme,,Benito Juárez,19.37152,-99.17271,Private room,344,1,4,10/25/2018,0.27,1,89
23417298,☀️Warm and ❤️cozy ☆gated ☆public transit ☆parking,1562506,Gerald,,Tlalpan,19.29927,-99.1863,Private room,344,1,10,4/7/2019,0.63,4,0
23565062,Departamento CDMX (Apartment México City),175747134,Alejandra,,Coyoacán,19.33892,-99.14851,Private room,344,1,1,10/28/2018,0.13,1,365
23594977,Room with private bathroom in best zone Condesa!!!,64202481,Marissa,,Cuauhtémoc,19.41336,-99.1784,Private room,344,2,19,6/5/2019,1.33,1,158
23645447,The window of Tlacoquemectl,37517525,Jose,,Benito Juárez,19.37766,-99.17271,Private room,344,3,3,3/31/2018,0.19,1,0
23687298,Departamento Completo con 2 Habitaciones Centrico,143611241,Rodri,,Cuauhtémoc,19.45203,-99.13983,Entire home/apt,344,1,14,6/17/2019,0.96,2,84
23752172,Chez Vero departamento céntrico con mucha luz,51413912,Vero,,Cuauhtémoc,19.4342,-99.16966,Private room,344,1,1,2/22/2019,0.24,2,0
23771580,Comfortable independent bedroom in Roma,21643856,Mau,,Cuauhtémoc,19.40731,-99.16326,Private room,344,7,7,3/20/2019,0.47,2,211
23772509,Lovely cozy apartment in Coyoácan,17932653,Lucia & Jushe,,Coyoacán,19.34768,-99.15171,Private room,344,2,20,5/20/2019,1.32,1,0
23822095,Casa ideal para estudiantes y corporativos-SantaFe,121340864,Sarahí,,Álvaro Obregón,19.34423,-99.25519,Private room,344,1,1,4/26/2018,0.07,1,174
