Date,Open,High,Low,Close,Volume
9/8/2021,69.36,69.89,67.56,68.14,556451
9/7/2021,68.37,69.75,68.31,69.3,389325
9/6/2021,69.11,69.48,67.64,68.35,481704
9/2/2021,69.76,70.53,69.05,69.29,313086
9/1/2021,68.29,70.61,67.84,69.99,403314
8/31/2021,68.55,69.24,67.12,68.59,399497
8/30/2021,69.18,69.34,68.16,68.5,325853
8/29/2021,69.3,69.64,67.67,69.21,360797
8/26/2021,67.75,69.05,67.52,68.74,326056
8/25/2021,68,68.31,67.02,67.42,344286
8/24/2021,67.63,68.54,66.92,68.36,353742
8/23/2021,65.54,67.8,65.41,67.54,335888
8/22/2021,61.96,66,61.74,65.64,397290
8/19/2021,64.05,64.1,62.11,62.32,365009
8/18/2021,64.58,64.76,62.63,63.69,88237
8/17/2021,66.58,67.48,64.34,65.46,121197
8/16/2021,67.43,67.72,66.33,66.59,235303
8/15/2021,68.13,68.14,65.73,67.29,334844
8/12/2021,68.91,69.22,67.77,68.44,272033
8/11/2021,69.36,69.62,68.46,69.09,352465
8/10/2021,68.51,69.45,66.67,69.25,513292
8/9/2021,66.85,68.9,66.56,68.29,452126
8/8/2021,67.88,67.9,65.15,66.48,598381
8/5/2021,69.14,70.18,67.8,68.28,537136
8/4/2021,68.06,69.35,67.61,69.09,416331
8/3/2021,70.32,70.81,67.85,68.15,582924
8/2/2021,71.52,71.96,69.19,70.56,509938
8/1/2021,73.91,73.95,70.55,71.26,448200
7/29/2021,73.41,74.23,72.93,73.95,303700
7/28/2021,72.4,73.68,72.26,73.62,294462
7/27/2021,71.9,72.6,71.7,72.39,318911
7/26/2021,72.22,72.33,71.08,71.65,333123
7/25/2021,72.18,72.43,70.56,71.91,395743
7/22/2021,71.71,72.21,71.39,72.07,274778
7/21/2021,70.22,72.03,69.86,71.91,435181
7/20/2021,66.45,70.51,66.44,70.3,503030
7/19/2021,66.6,67.65,65.21,67.42,561629
7/18/2021,71.49,71.67,65.63,66.42,82565
7/15/2021,71.48,72.3,70.41,71.81,133926
7/14/2021,72.96,72.96,71.4,71.65,368679
7/13/2021,75.17,75.44,72.21,73.13,528360
7/12/2021,74.18,75.52,73.68,75.25,444078
7/11/2021,74.74,74.93,73.16,74.1,397931
7/8/2021,73.26,74.76,72.72,74.56,422154
7/7/2021,72.17,73.26,70.76,72.94,529690
7/6/2021,73.85,74.86,71.07,72.2,607971
7/5/2021,75.35,76.98,72.94,73.37,714044
7/1/2021,75.02,75.62,74.41,75.16,377531
6/30/2021,73.5,76.22,73.39,75.23,615678
6/29/2021,73.47,74.14,72.82,73.47,383626
6/28/2021,72.78,73.81,71.97,72.98,321448
6/27/2021,73.99,74.45,72.62,72.91,354701
6/24/2021,73.32,74.18,72.85,74.05,364721
6/23/2021,73.28,73.61,72.32,73.3,334833
6/22/2021,72.91,74.25,72.82,73.08,429207
6/21/2021,73.41,73.95,72.94,73.06,498555
6/20/2021,71.52,73.96,71.15,73.66,123662
6/17/2021,71.1,72.17,70.16,71.64,139584
6/16/2021,71.65,72.3,69.77,71.04,373780
6/15/2021,72.45,72.99,71.61,72.15,426775
